Formula,Volume,Density,IDs,Uncorrected EPA,EPA,Formation EPA,Equilibrium Reaction EPA,Atomic Density,Bulk Modulus,Shear Modulus,Sound Velocity,Thermal Conductivity,Debye Temperature (K)
Ti1 C1,20.315907256971823,4.894158008766744,mp-631,-12.407847815,-12.407847815,-0.965351713333333,-0.292032120624998,10.187618213579643,251.478,172.363,414.8110035792069,2.373769236285871,284299.112375189
Th1 O2,43.92656473586823,9.981284088599562,mp-643,-32.705739873333336,-32.705739873333336,-4.2322967225,-4.232296722499999,14.773062852578509,188.295,91.197,127.39442324260727,0.973501146511848,67522.1884255961
Na2 S1,68.60267970013781,1.889080805023612,mp-648,-6.323377323333333,-6.323377323333333,-1.269244534270833,-0.599730793333333,23.64461190570699,28.189,19.193,29.41459793128168,0.7389622688255041,13437.825891689316
Th1 N1,34.540798749152934,11.828531808143676,mp-834,-43.073329845,-43.073329845,-1.771323434374998,-0.122390305000003,17.32805662474341,176.864,86.739,129.81180516125175,0.781281371596871,74543.18712319403
Sc1 B12,101.47501045118705,2.858596431321338,mp-8772,-7.877572944615385,-7.877572944615385,-0.219516196538462,-0.014870884230771,7.830221726077058,218.18,190.491,287.7454413423751,3.796425935268905,115372.7710073173
Th1 P1,50.499133000314536,8.648493153656961,mp-931,-42.969682825,-42.969682825,-1.731013593988088,-0.319211836249998,25.13195190589688,112.228,56.224,88.51362199923108,0.5709690478567461,44783.71066050351
K4 O2,129.6009765025592,2.413811104778204,mp-971,-7.18242678,-7.18242678,-1.179406272083333,-0.38184060875,22.735510089524595,27.218,12.49,16.00942399049501,0.5634114648580141,5916.240953980738
Y1 P1,45.84680800002108,4.3419550450029,mp-994,-16.514991695,-16.514991695,-1.857153058988094,-1.473633889999998,22.8879280589006,85.85,58.797,114.73802868133376,0.856238837564796,59952.67729121492
Ti8 C4,160.40451985832723,4.461577117080882,mp-10721,-12.667208906666666,-12.667208906666666,-0.7262925011111101,-0.008084935555555,13.43675220095868,121.304,84.645,90.53633767498572,1.447875448810514,31161.739092544838
P4 W2,88.67367067809505,9.205433431006806,mp-11328,-23.50548562,-23.50548562,-0.381503285317459,-0.138663909325401,14.932874499515522,188.205,132.466,159.96369255132217,1.177349773793889,67085.33808135371
K4 S6,272.4065994738514,2.126116369065915,mp-7667,-8.172802736,-8.172802736,-0.9450748251874992,-0.031748755277776,28.5528151588148,14.703,9.043,6.877156682058056,0.428355555534743,1984.056470845383
Li26 Si8,523.6081630414494,1.284868058330253,mp-672287,-4.171786855588235,-4.171786855588235,-0.282243223039215,-0.023114041737967,15.56957546906585,32.333,28.036,23.10407163313036,1.380295298830101,5360.868331084567
Y8 C10,289.2591488388468,4.772521355112645,mp-9459,-15.027578276111113,-15.027578276111113,-0.473069410555556,-0.025532700777779,16.213100831998783,100.83,63.23,54.94275391371752,1.079866524906256,15536.458377560788
Mn2 B8,71.93098569794613,4.533098497317456,mp-1078253,-9.068628088,-9.068628088,-0.254877794896552,-0.043604637500001,7.271985506435527,273.514,242.51,348.4302324001735,3.581179179557976,156682.7404595432
Cr2 B8,72.953526579668,4.335634324822996,mp-1078278,-9.157114526,-9.157114526,-0.265362689999999,-0.101056989499999,7.373007816008922,274.936,261.781,392.8299850949591,3.7377350714949342,175819.40273788935
Fe2 S4,80.66959748929806,4.939238101940616,mp-1522,-10.65955834,-10.65955834,-0.499070641874999,-0.499070641874999,13.589913887920533,162.063,125.99,189.9308910366123,1.65312530439651,82207.05250892465
Fe2 P4,75.14771676361988,5.205722716605253,mp-20027,-11.222322931666668,-11.222322931666668,-0.416475843650793,-0.053412619722223,12.710473487467668,175.013,154.075,235.6039246032153,1.8407438241213487,104411.42912918072
Hf24 P12,657.4552169256518,11.758289151578976,mp-504659,-34.193794455277775,-34.193794455277775,-1.092158757936513,-0.013971682777771,18.50978488488674,149.153,78.671,43.23384309576283,0.714007928130952,9298.360844043886
Ti24 S12,527.413887485313,4.828433323530562,mp-616559,-12.488150020555556,-12.488150020555556,-1.184966269270832,-0.104853519444445,14.73373849589789,147.515,86.318,68.79285247962726,1.342656267660567,15923.425337409208
Mo8 C4,149.10320288570608,9.08279544870606,mp-1552,-20.836114306666666,-20.836114306666666,-0.139049616666665,-0.032104006666664,12.611256535526271,295.211,151.829,168.03867934790355,1.461332189182489,59261.21585087429
