Formula,Volume,Density,Uncorrected EPA,EPA,Formation EPA,Equilibrium Reaction EPA,Atomic Density,Bulk Modulus,Shear Modulus,Sound Velocity,Thermal Conductivity,Debye Temperature,O,N,C,B,Si,Al,Mg,Zr,Ti,Ca,Y,Hf,Fe,Na,K,Ba,Sr,Li,Be,Mn,V,Cr,Nb,Mo,W,Re,Sc,La,Ce,Th,U,Tm,Elements
Ca4 Sc8 O16,331.1756548672651,3.8906687940000433,-11.368015631428571,-11.368015631428571,-3.692958057857142,-0.017855953035713,12.03732862651128,144.156,82.699,74.20485105640334,1.6879324812089802,671.5195297331724,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1045.5126085305499,"['Ca', 'Sc', 'O']"
Ca8 Si4 O16,386.1265013733575,2.962860655545289,-10.010578038928571,-10.010578038928571,-3.3333656675,-0.064685477499999,14.113963284991325,89.257,49.717,42.70089501926439,1.355731670527812,567.8162836525921,16,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848.1869490489499,"['Ca', 'Si', 'O']"
Ca4 Zr4 O12,258.7265007863652,4.60308451218168,-13.161316930500002,-13.161316930500002,-3.620179618750001,-0.062824564500001,13.3191157038838,149.043,85.19,82.76648926110106,1.481275054760345,609.3945122337077,12,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060.464434855,"['Ca', 'Zr', 'O']"
K4 N4 O12,306.24942598800067,2.192798410004667,-7.6573668435,-7.6573668435,-1.04444373125,-0.366567163527779,16.726737328509284,17.312,8.418,4.795862213501704,0.6042471115512551,265.9737250890503,12,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.7893544981999,"['K', 'N', 'O']"
Ca16 C4 N16,566.5724916267853,2.677032660231054,-9.310905707777778,-9.310905707777778,-1.020304299444444,-0.02465722736111,15.975066369248973,66.517,33.929,25.320949989794244,1.087583366641853,472.5388267350967,0,16,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754.15353737255,"['Ca', 'C', 'N']"
Ba4 C4 O12,308.7916524320886,4.244725776355712,-13.274663344,-13.274663344,-2.40177899825,-0.550954947000004,15.926587345758596,51.872,21.914,13.954762043616135,0.71008181974113,305.6014602556328,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682.7758628678,"['Ba', 'C', 'O']"
Na4 U4 O12,280.2986898886754,7.322682831003938,-23.483833073,-23.483833073,-3.199069443249999,-0.068140072875024,14.475056821199368,83.733,53.954,32.726687134255144,0.8766935431359971,373.47882275577695,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,873.4692087638,"['Na', 'U', 'O']"
Sr4 Sc8 O16,351.2297387223793,4.567597792882324,-12.478619336071429,-12.478619336071429,-3.64536642392857,-0.042257547678572,12.771209104126283,141.067,81.465,68.07924577358503,1.48585473649135,603.1281765999894,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1038.10825042375,"['Sr', 'Sc', 'O']"
Ce4 Sc4 O12,263.33288447133674,5.878825617249282,-15.837651196,-15.837651196,-3.8063077822499993,-0.029207054499998,13.320161717640834,160.352,87.319,76.78906560911142,1.320339237579904,541.7640929195649,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,1073.24882426855,"['Ce', 'Sc', 'O']"
Li2 V4 N6,120.67809621495368,4.151250794011732,-10.795259430833331,-10.795259430833331,-1.136574449652777,-0.001753401666668,10.255826705806198,147.437,66.596,72.16990823279245,1.661930785863977,619.3963163355191,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,949.0216249688001,"['Li', 'V', 'N']"
